codigo;nome;uf;estado
1122;IELMO MARINHO;RN;RIO GRANDE DO NORTE
3485;IEPE;SP;SÃO PAULO
1679;IGACI;AL;ALAGOAS
1981;IGAPORA;BA;BAHIA
3486;IGARACU DO TIETE;SP;SÃO PAULO
1273;IGARACY;PB;PARAIBA
3487;IGARAPAVA;SP;SÃO PAULO
2578;IGARAPE;MG;MINAS GERAIS
537;IGARAPE DO MEIO;MA;MARANHÃO
538;IGARAPE GRANDE;MA;MARANHÃO
204;IGARAPE-ACU;PA;PARA
205;IGARAPE-MIRI;PA;PARA
1535;IGARASSU;PE;PERNAMBUCO
3488;IGARATA;SP;SÃO PAULO
2579;IGARATINGA;MG;MINAS GERAIS
1982;IGRAPIUNA;BA;BAHIA
1680;IGREJA NOVA;AL;ALAGOAS
4782;IGREJINHA;RS;RIO GRANDE DO SUL
3194;IGUABA GRANDE;RJ;RIO DE JANEIRO
1983;IGUAI;BA;BAHIA
3489;IGUAPE;SP;SÃO PAULO
1536;IGUARACI;PE;PERNAMBUCO
4045;IGUARACU;PR;PARANÁ
2580;IGUATAMA;MG;MINAS GERAIS
5098;IGUATEMI;MS;MATO GROSSO DO SUL
964;IGUATU;CE;CEARA
4046;IGUATU;PR;PARANÁ
2581;IJACI;MG;MINAS GERAIS
4783;IJUI;RS;RIO GRANDE DO SUL
3491;ILHA COMPRIDA;SP;SÃO PAULO
1771;ILHA DAS FLORES;SE;SERGIPE
759;ILHA GRANDE;PI;PIAUI
3492;ILHA SOLTEIRA;SP;SÃO PAULO
3490;ILHABELA;SP;SÃO PAULO
1984;ILHEUS;BA;BAHIA
4411;ILHOTA;SC;SANTA CATARINA
2582;ILICINEA;MG;MINAS GERAIS
4784;ILOPOLIS;RS;RIO GRANDE DO SUL
1325;IMACULADA;PB;PARAIBA
4412;IMARUI;SC;SANTA CATARINA
4047;IMBAU;PR;PARANÁ
4785;IMBE;RS;RIO GRANDE DO SUL
2583;IMBE DE MINAS;MG;MINAS GERAIS
4413;IMBITUBA;SC;SANTA CATARINA
4048;IMBITUVA;PR;PARANÁ
4414;IMBUIA;SC;SANTA CATARINA
4786;IMIGRANTE;RS;RIO GRANDE DO SUL
539;IMPERATRIZ;MA;MARANHÃO
4049;INACIO MARTINS;PR;PARANÁ
5370;INACIOLANDIA;GO;GOIÁS
4050;INAJA;PR;PARANÁ
1537;INAJA;PE;PERNAMBUCO
2584;INCONFIDENTES;MG;MINAS GERAIS
2585;INDAIABIRA;MG;MINAS GERAIS
4415;INDAIAL;SC;SANTA CATARINA
3493;INDAIATUBA;SP;SÃO PAULO
4787;INDEPENDENCIA;RS;RIO GRANDE DO SUL
965;INDEPENDENCIA;CE;CEARA
3494;INDIANA;SP;SÃO PAULO
4051;INDIANOPOLIS;PR;PARANÁ
2586;INDIANOPOLIS;MG;MINAS GERAIS
3495;INDIAPORA;SP;SÃO PAULO
5371;INDIARA;GO;GOIÁS
1772;INDIAROBA;SE;SERGIPE
5184;INDIAVAI;MT;MATO GROSSO
1326;INGA;PB;PARAIBA
2587;INGAI;MG;MINAS GERAIS
1538;INGAZEIRA;PE;PERNAMBUCO
4788;INHACORA;RS;RIO GRANDE DO SUL
1985;INHAMBUPE;BA;BAHIA
206;INHANGAPI;PA;PARA
1681;INHAPI;AL;ALAGOAS
2588;INHAPIM;MG;MINAS GERAIS
2589;INHAUMA;MG;MINAS GERAIS
760;INHUMA;PI;PIAUI
5372;INHUMAS;GO;GOIÁS
2590;INIMUTABA;MG;MINAS GERAIS
5099;INOCENCIA;MS;MATO GROSSO DO SUL
3496;INUBIA PAULISTA;SP;SÃO PAULO
4416;IOMERE;SC;SANTA CATARINA
2591;IPABA;MG;MINAS GERAIS
5373;IPAMERI;GO;GOIÁS
2592;IPANEMA;MG;MINAS GERAIS
1123;IPANGUACU;RN;RIO GRANDE DO NORTE
966;IPAPORANGA;CE;CEARA
2593;IPATINGA;MG;MINAS GERAIS
3497;IPAUCU;SP;SÃO PAULO
967;IPAUMIRIM;CE;CEARA
4789;IPE;RS;RIO GRANDE DO SUL
1986;IPECAETA;BA;BAHIA
3498;IPERO;SP;SÃO PAULO
3499;IPEUNA;SP;SÃO PAULO
2594;IPIACU;MG;MINAS GERAIS
1987;IPIAU;BA;BAHIA
3500;IPIGUA;SP;SÃO PAULO
4417;IPIRA;SC;SANTA CATARINA
1988;IPIRA;BA;BAHIA
4052;IPIRANGA;PR;PARANÁ
761;IPIRANGA DO PIAUI;PI;PIAUI
4790;IPIRANGA DO SUL;RS;RIO GRANDE DO SUL
101;IPIXUNA;AM;AMAZONAS
207;IPIXUNA DO PARA;PA;PARA
1539;IPOJUCA;PE;PERNAMBUCO
4053;IPORA;PR;PARANÁ
5374;IPORA;GO;GOIÁS
4418;IPORA DO OESTE;SC;SANTA CATARINA
3501;IPORANGA;SP;SÃO PAULO
968;IPU;CE;CEARA
3502;IPUA;SP;SÃO PAULO
4419;IPUACU;SC;SANTA CATARINA
1540;IPUBI;PE;PERNAMBUCO
1124;IPUEIRA;RN;RIO GRANDE DO NORTE
969;IPUEIRAS;CE;CEARA
369;IPUEIRAS;TO;TOCANTIS
2595;IPUIUNA;MG;MINAS GERAIS
4420;IPUMIRIM;SC;SANTA CATARINA
1989;IPUPIARA;BA;BAHIA
144;IRACEMA;RR;RORAIMA
970;IRACEMA;CE;CEARA
4054;IRACEMA DO OESTE;PR;PARANÁ
3503;IRACEMAPOLIS;SP;SÃO PAULO
4421;IRACEMINHA;SC;SANTA CATARINA
4791;IRAI;RS;RIO GRANDE DO SUL
2596;IRAI DE MINAS;MG;MINAS GERAIS
1990;IRAJUBA;BA;BAHIA
1991;IRAMAIA;BA;BAHIA
102;IRANDUBA;AM;AMAZONAS
4422;IRANI;SC;SANTA CATARINA
3504;IRAPUA;SP;SÃO PAULO
3505;IRAPURU;SP;SÃO PAULO
1992;IRAQUARA;BA;BAHIA
1993;IRARA;BA;BAHIA
4423;IRATI;SC;SANTA CATARINA
4055;IRATI;PR;PARANÁ
971;IRAUCUBA;CE;CEARA
1994;IRECE;BA;BAHIA
4056;IRETAMA;PR;PARANÁ
4424;IRINEOPOLIS;SC;SANTA CATARINA
208;IRITUIA;PA;PARA
3122;IRUPI;ES;ESPÍRITO SANTO
762;ISAIAS COELHO;PI;PIAUI
5375;ISRAELANDIA;GO;GOIÁS
4425;ITA;SC;SANTA CATARINA
4792;ITAARA;RS;RIO GRANDE DO SUL
1327;ITABAIANA;PB;PARAIBA
1773;ITABAIANA;SE;SERGIPE
1774;ITABAIANINHA;SE;SERGIPE
1995;ITABELA;BA;BAHIA
3506;ITABERA;SP;SÃO PAULO
1996;ITABERABA;BA;BAHIA
5376;ITABERAI;GO;GOIÁS
1775;ITABI;SE;SERGIPE
2597;ITABIRA;MG;MINAS GERAIS
2598;ITABIRINHA DE MANTENA;MG;MINAS GERAIS
